Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,True Negative,False Positive,False Negative,True Positive
Logistic Regression,0.7455968688845401,0.13793103448275862,0.8,0.23529411764705882,0.8436625514403292,722,250,10,40
Decision Tree,0.8277886497064579,0.17857142857142858,0.7,0.2845528455284553,0.8192181069958848,811,161,15,35
Random Forest,0.8767123287671232,0.17796610169491525,0.42,0.25,0.7967695473251029,875,97,29,21
SVM,0.7622309197651663,0.13307984790874525,0.7,0.22364217252396165,0.7979629629629629,744,228,15,35
KNN,0.9481409001956947,0.0,0.0,0.0,0.6214197530864197,969,3,50,0
Naive Bayes,0.2984344422700587,0.06405228758169934,0.98,0.12024539877300613,0.7860493827160494,256,716,1,49
